omega_list,gain_list,phase_list
6.28318530717959,-55.6369237539531,9.54719999999988
12.5663706143592,-53.8397693607285,12.7295999999996
18.8495559215388,-50.1548086524398,47.736
21.9911485751286,-50.1546251370853,83.538
25.1327412287183,-51.9075402370783,120.9312
31.4159265358979,-58.6047004203813,151.164
37.6991118430775,-63.0268107841479,171.8496
50.2654824574367,-69.3335717791454,165.4848
62.8318530717959,-71.8481666452826,175.032
