time,despos1,desvel1,desacc1,iqcmd1,despos2,desvel2,desacc2,iqcmd2,actpos1,actvel1,actacc1,actfe1,actpos2,actvel2,actacc2,actfe2,actpos3,actvel3,actacc3,actfe3,actpos4,actvel4,actacc4,actfe4,nodeA,nodeB,nodeC,nodeD
0,3670,0,0,16384,0,0,0,0,0,0,0,3670,0,0,0,3670,0,0,0,3670,0,0,0,3670,86701.6742081449,86701.6742081449,86701.6742081449,0
0.000442,3670,0,0,16384,0,0,0,0,0,0,0,3670,0,0,0,3670,0,0,0,3670,0,0,0,3670,3670,3670,3670,0
0.000884,3670,0,0,16384,0,0,0,0,0,0,0,3670,0,0,0,3670,0,0,0,3670,0,0,0,3670,3670,3670,3670,0
0.001326,3670,0,0,16384,0,0,0,0,0,0,0,3670,0,0,0,3670,0,0,0,3670,0,0,0,3670,3670,3670,3670,0
0.001768,3670,0,0,16384,0,0,0,0,3.1796875,7193.86312217195,16275708.4212035,3666.8203125,0,0,0,3670,0,0,0,3670,0,0,0,3670,3594.88168127828,3594.88168127828,3594.88168127828,0
0.00221,3670,0,0,16384,0,0,0,0,6.515625,7547.36990950226,799789.111607052,3663.484375,1,2262.44343891403,5118650.31428513,3669,0,0,0,3670,0,0,0,3670,3588.01067590498,3588.01067590498,3588.01067590498,0
0.002652,3670,0,0,16384,0,0,0,0,8.6015625,4719.31561085973,-6398312.89285641,3661.3984375,1,0,-5118650.31428513,3669,0,0,0,3670,0,0,0,3670,3614.2052813914,3614.2052813914,3614.2052813914,0
0.003094,3670,0,0,16384,0,0,0,0,11.21875,5921.2386877828,2719282.97946397,3658.78125,1,0,0,3669,0,0,0,3670,0,0,0,3670,3599.56886312217,3599.56886312217,3599.56886312217,0
0.003536,3670,0,0,16384,0,0,0,0,16.6484375,12284.3608597285,14396204.0089269,3653.3515625,1,0,0,3669,0,0,0,3670,0,0,0,3670,3530.50795390272,3530.50795390272,3530.50795390272,0
0.003978,3670,0,0,16384,0,0,0,0,21.96875,12036.9061085973,-559852.378124935,3648.03125,1,0,0,3669,0,0,0,3670,0,0,0,3670,3527.66218891403,3527.66218891403,3527.66218891403,0
0.00442,3670,0,0,16384,0,0,0,0,25.84765625,8775.80599547511,-7378054.55457505,3644.15234375,1,0,0,3669,0,0,0,3670,0,0,0,3670,3556.39428379525,3556.39428379525,3556.39428379525,0
0.004862,3670,0,0,16384,0,0,0,0,31.375,12505.30260181,8437775.12745439,3638.625,1,0,0,3669,0,0,0,3670,0,0,0,3670,3513.5719739819,3513.5719739819,3513.5719739819,0
0.005304,3670,0,0,16384,0,0,0,0,39.2265625,17763.7160633484,11896863.0351549,3630.7734375,1,0,0,3669,0,0,0,3670,0,0,0,3670,3453.13627686652,3453.13627686652,3453.13627686652,0
0.005746,3670,0,0,16384,0,0,0,0,46.15625,15678.0260180995,-4718755.75848161,3623.84375,1.546875,1237.27375565611,2799261.89062468,3668.453125,0,0,0,3670,0,0,0,3670,3467.06348981901,3467.06348981901,3467.06348981901,0
0.006188,3670,0,0,16384,0,0,0,0,52.078125,13397.907239819,-5158639.76986548,3617.921875,1.6640625,265.130090497738,-2199420.05691939,3668.3359375,0,0,0,3670,0,0,0,3670,3483.94280260181,3483.94280260181,3483.94280260181,0
0.00663,3670,0,0,16384,0,0,0,0,59.9453125,17799.0667420814,9957374.43950779,3610.0546875,1.78125,265.130090497738,0,3668.21875,0,0,0,3670,0,0,0,3670,3432.06402007919,3432.06402007919,3432.06402007919,0
0.007072,3670,0,0,16384,0,0,0,0,69.453125,21510.8880090498,8397785.67187404,3600.546875,1.8984375,265.130090497738,0,3668.1015625,0,0,0,3670,0,0,0,3670,3385.4379949095,3385.4379949095,3385.4379949095,0
0.007514,3670,0,0,16384,0,0,0,0,77.25,17639.9886877828,-8757690.77209721,3592.75,2.015625,265.130090497738,0,3667.984375,0,0,0,3670,0,0,0,3670,3416.35011312217,3416.35011312217,3416.35011312217,0
0.007956,3670,0,0,16384,0,0,0,0,84.2890625,15925.4807692308,-3878977.1912942,3585.7109375,2.1328125,265.130090497738,0,3667.8671875,0,0,0,3670,0,0,0,3670,3426.45612980769,3426.45612980769,3426.45612980769,0
0.008398,3670,0,0,16384,0,0,0,0,93.9921875,21952.7714932127,13636404.3529002,3576.0078125,2.25,265.130090497738,0,3667.75,0,0,0,3670,0,0,0,3670,3356.48009756787,3356.48009756787,3356.48009756787,0
0.00884,3670,0,0,16384,0,0,0,0,104.8671875,24604.07239819,5998418.33705289,3565.1328125,2.3671875,265.130090497738,0,3667.6328125,0,0,0,3670,0,0,0,3670,3319.0920885181,3319.0920885181,3319.0920885181,0
0.009282,3670,0,0,16384,0,0,0,0,113.40625,19319.1459276018,-11956847.2185254,3556.59375,2.484375,265.130090497738,0,3667.515625,0,0,0,3670,0,0,0,3670,3363.40229072398,3363.40229072398,3363.40229072398,0
0.009724,3670,0,0,16384,0,0,0,0,121.671875,18700.5090497738,-1399630.94531234,3548.328125,2.49609375,26.5130090497738,-539857.65033476,3667.50390625,0,0,0,3670,0,0,0,3670,3361.32303450226,3361.32303450226,3361.32303450226,0
0.010166,3670,0,0,16384,0,0,0,0,133.1875,26053.4502262443,16635613.5214267,3536.8125,2.49609375,0,-59984.1833705289,3667.50390625,0,0,0,3670,0,0,0,3670,3276.27799773756,3276.27799773756,3276.27799773756,0
0.010608,3670,0,0,16384,0,0,0,0,145,26725.1131221719,1519599.3120534,3525,2.49609375,0,0,3667.50390625,0,0,0,3670,0,0,0,3670,3257.74886877828,3257.74886877828,3257.74886877828,0
0.01105,3670,0,0,16384,0,0,0,0,154.109375,20609.4457013575,-13836351.630802,3515.890625,2.49609375,0,0,3667.50390625,0,0,0,3670,0,0,0,3670,3309.79616798643,3309.79616798643,3309.79616798643,0
0.011492,3670,0,0,16384,0,0,0,0,164.09375,22589.0837104072,4478819.02499949,3505.90625,2.49609375,0,0,3667.50390625,0,0,0,3670,0,0,0,3670,3280.01541289593,3280.01541289593,3280.01541289593,0
0.011934,3670,0,0,16384,0,0,0,0,177.296875,29871.3235294118,16475655.6991053,3492.703125,2.49609375,0,0,3667.50390625,0,0,0,3670,0,0,0,3670,3193.98988970588,3193.98988970588,3193.98988970588,0
0.012376,3670,0,0,16384,0,0,0,0,189.65625,27962.3868778281,-4318861.20267809,3480.34375,2.49609375,0,0,3667.50390625,0,0,0,3670,0,0,0,3670,3200.71988122172,3200.71988122172,3200.71988122172,0
0.012818,3670,0,0,16384,0,0,0,0,199.6796875,22677.4604072398,-11956847.2185254,3470.3203125,2.49609375,0,0,3667.50390625,0,0,0,3670,0,0,0,3670,3243.5457084276,3243.5457084276,3243.5457084276,0
0.01326,3670,0,0,16384,0,0,0,0,211.390625,26495.3337104072,8637722.40535615,3458.609375,2.49609375,0,0,3667.50390625,0,0,0,3670,0,0,0,3670,3193.65603789593,3193.65603789593,3193.65603789593,0
0.013702,3670,0,0,16384,0,0,0,0,225.796875,32593.3257918552,13796362.1752216,3444.203125,2.49609375,0,0,3667.50390625,0,0,0,3670,0,0,0,3670,3118.26986708145,3118.26986708145,3118.26986708145,0
0.014144,3670,0,0,16384,0,0,0,0,239.25,30436.9343891403,-4878713.58080302,3430.75,2.49609375,0,0,3667.50390625,0,0,0,3670,0,0,0,3670,3126.3806561086,3126.3806561086,3126.3806561086,0
0.014586,3670,0,0,16384,0,0,0,0,250.921875,26406.9570135747,-9117595.87232038,3419.078125,2.49609375,0,0,3667.50390625,0,0,0,3670,0,0,0,3670,3155.00855486425,3155.00855486425,3155.00855486425,0
0.015028,3670,0,0,16384,0,0,0,0,265.03125,31921.6628959276,12476710.14107,3404.96875,2.49609375,0,0,3667.50390625,0,0,0,3670,0,0,0,3670,3085.75212104072,3085.75212104072,3085.75212104072,0
0.01547,3670,0,0,16384,0,0,0,0,281.296875,36800.056561086,11037089.7401773,3388.703125,2.49609375,0,0,3667.50390625,0,0,0,3670,0,0,0,3670,3020.70255938914,3020.70255938914,3020.70255938914,0
0.015912,3670,0,0,16384,0,0,0,0,295.6875,32557.9751131222,-9597469.33928461,3374.3125,2.49609375,0,0,3667.50390625,0,0,0,3670,0,0,0,3670,3048.73274886878,3048.73274886878,3048.73274886878,0
