time,despos1,desvel1,desacc1,iqcmd1,despos2,desvel2,desacc2,iqcmd2,actpos1,actvel1,actacc1,actfe1,actpos2,actvel2,actacc2,actfe2,actpos3,actvel3,actacc3,actfe3,actpos4,actvel4,actacc4,actfe4,nodeA,nodeB,nodeC,nodeD
0,0,0,0,0,0,0,0,0,-13,0,0,13,12.50390625,0,0,-12.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.00442,0,0,0,435.51822,0,0,0,0,-13,0,0,13,12.50390625,0,0,-12.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.00884,0,0,0,968.15442,0,0,0,0,-11.44921875,350.855486425339,79379.0693269998,11.44921875,12.50390625,0,0,-12.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.01326,0,0,0,1473.9714,0,0,0,0,-7,1006.61057692308,148360.880203108,7,12.50390625,0,0,-12.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.01768,0,0,0,1938.9573,0,0,0,0,2.671875,2188.20701357466,267329.510554657,-2.671875,13.50390625,226.244343891403,51186.5031428513,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.0221,0,0,0,2350.2314,0,0,0,0,18.8984375,3671.16798642534,335511.532319158,-18.8984375,12.50390625,-226.244343891403,-102373.006285703,-12.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.02652,0,0,0,2696.4009,0,0,0,0,43.1875,5495.26300904977,412691.181589238,-43.1875,12.50390625,0,51186.5031428513,-12.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.03094,0,0,0,2967.8762,0,0,0,0,77.03125,7656.95701357466,489071.041747712,-77.03125,12.50390625,0,0,-12.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.03536,0,0,0,3157.1372,0,0,0,0,121.14453125,9980.38037330317,525661.393603735,-121.14453125,12.50390625,0,0,-12.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.03978,0,0,0,3258.9412,0,0,0,0,175.734375,12350.6433823529,536258.599332528,-175.734375,12.50390625,0,0,-12.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.0442,0,0,0,3270.4678,0,0,0,0,240.75,14709.4174208145,533659.284719805,-240.75,12.50390625,0,0,-12.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.04862,0,0,0,3191.3979,0,0,0,0,315.1953125,16842.8308823529,482672.728854856,-315.1953125,12.50390625,0,0,-12.50390625,0,0,0,0,0,0,0,0,0,0,0,0
