time,despos1,desvel1,desacc1,iqcmd1,despos2,desvel2,desacc2,iqcmd2,actpos1,actvel1,actacc1,actfe1,actpos2,actvel2,actacc2,actfe2,actpos3,actvel3,actacc3,actfe3,actpos4,actvel4,actacc4,actfe4,nodeA,nodeB,nodeC,nodeD
0,0,0,0,0,0,0,0,0,-8,0,0,8,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.00442,0,0,0,45.499657,0,0,0,0,-8,0,0,8,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.00884,0,0,0,498.56836,0,0,0,0,-7,226.244343891403,51186.5031428513,7,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.01326,0,0,0,942.03925,0,0,0,0,-3.42578125,808.646776018099,131765.256137262,3.42578125,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.01768,0,0,0,1367.3752,0,0,0,0,4.4609375,1784.32550904977,220741.794803546,-4.4609375,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.0221,0,0,0,1766.3883,0,0,0,0,17.7578125,3008.342760181,276926.979893942,-17.7578125,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.02652,0,0,0,2131.3972,0,0,0,0,38.0546875,4592.05316742081,358305.521999959,-38.0546875,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.03094,0,0,0,2455.3752,0,0,0,0,66.49609375,6434.70729638009,416890.074425176,-66.49609375,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.03536,0,0,0,2732.0857,0,0,0,0,104.26171875,8544.25904977375,477274.152351508,-104.26171875,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.03978,0,0,0,2956.2014,0,0,0,0,151.6640625,10724.5121606335,493269.934583649,-151.6640625,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.0442,0,0,0,3123.4082,0,0,0,0,209.046875,12982.5367647059,510865.295039004,-209.046875,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.04862,0,0,0,3230.4873,0,0,0,0,276.34375,15225.5373303167,507466.191314674,-276.34375,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.05304,0,0,0,3275.3774,0,0,0,0,352.49609375,17229.0370475113,453280.479003296,-352.49609375,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.05746,0,0,0,3257.2141,0,0,0,0,436.5625,19019.5489253394,405093.185028971,-436.5625,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.06188,0,0,0,3176.3472,0,0,0,0,527,20460.9728506787,326114.010257776,-527,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.0663,0,0,0,3034.3333,0,0,0,0,622.4296875,21590.4270361991,255532.621158453,-622.4296875,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.07072,0,0,0,2833.9065,0,0,0,0,720.6171875,22214.3665158371,141162.778198645,-720.6171875,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.07514,0,0,0,2578.925,0,0,0,0,821.734375,22877.1917420814,149960.458426322,-821.734375,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.07956,0,0,0,2274.2976,0,0,0,0,923.5,23023.8970588235,33191.2481316927,-923.5,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.08398,0,0,0,1925.8882,0,0,0,0,1024.21875,22787.0475113122,-53585.8704776725,-1024.21875,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.0884,0,0,0,1540.4041,0,0,0,0,1120.625,21811.3687782805,-220741.794803546,-1120.625,12.99609375,-114.889705882353,-25993.1461272292,-12.99609375,0,0,0,0,0,0,0,0,0,0,0,0
0.09282,0,0,0,1125.2662,0,0,0,0,1210.49609375,20332.8266402715,-334511.79592965,-1210.49609375,12.98828125,-1.76753393665158,25593.2515714256,-12.98828125,0,0,0,0,0,0,0,0,0,0,0,0
0.09724,0,0,0,688.46619,0,0,0,0,1291.2734375,18275.417138009,-465477.262955304,-1291.2734375,12.98046875,-1.76753393665158,0,-12.98046875,0,0,0,0,0,0,0,0,0,0,0,0
0.10166,0,0,0,238.41266,0,0,0,0,1360.2890625,15614.3947963801,-602041.253762208,-1360.2890625,12.97265625,-1.76753393665158,0,-12.97265625,0,0,0,0,0,0,0,0,0,0,0,0
0.10608,0,0,0,-216.23044,0,0,0,0,1414.68359375,12306.4550339367,-748402.661186298,-1414.68359375,13.50390625,120.192307692308,27592.7243504433,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.1105,0,0,0,-666.71094,0,0,0,0,1452.49609375,8554.86425339367,-848776.194692983,-1452.49609375,13.50390625,0,-27192.8297946397,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.11492,0,0,0,-1104.3568,0,0,0,0,1471.3125,4257.10548642534,-972343.612436273,-1471.3125,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.11934,0,0,0,-1520.743,0,0,0,0,1469.58203125,-391.508766968326,-1051722.68176327,-1469.58203125,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.12376,0,0,0,-1907.854,0,0,0,0,1446.125,-5307.02064479638,-1112106.7596896,-1446.125,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.12818,0,0,0,-2258.2373,0,0,0,0,1401.19921875,-10164.2039027149,-1098910.23934809,-1401.19921875,13.50390625,0,0,-13.50390625,0,0,0,0,0,0,0,0,0,0,0,0
0.1326,0,0,0,-2565.1479,0,0,0,0,1334.16015625,-15167.2087104072,-1131901.54020188,-1334.16015625,14.0078125,114.005938914027,25793.1988493274,-14.0078125,0,0,0,0,0,0,0,0,0,0,0,0
0.13702,0,0,0,-2822.678,0,0,0,0,1244.87890625,-20199.3778280543,-1138499.80037264,-1244.87890625,14.15625,33.5831447963801,-18195.2022890604,-14.15625,0,0,0,0,0,0,0,0,0,0,0,0
0.14144,0,0,0,-3025.8694,0,0,0,0,1133.41796875,-25217.4066742081,-1135300.64392621,-1133.41796875,14.3046875,33.5831447963801,0,-14.3046875,0,0,0,0,0,0,0,0,0,0,0,0
